title,author,avg_rating,date_added,num_of_pages,genre,rating_num
Hunger(Unbound #3),Nicoli Gonnella,4.43,2025-04-19,1035.0,unknown,2.0
Silence(Unbound #2),Nicoli Gonnella,4.23,2025-04-19,482.0,artists'_books,3.0
Dissonance(Unbound #1),Nicoli Gonnella,4.38,2025-04-16,778.0,unknown,4.0
"The Dungeon Anarchist's Cookbook(Dungeon Crawler Carl, #3)",Matt Dinniman,4.48,2025-04-15,534.0,fiction,2.0
"Carl's Doomsday Scenario(Dungeon Crawler Carl, #2)",Matt Dinniman,4.54,2025-04-14,364.0,unknown,3.0
"Dungeon Crawler Carl(Dungeon Crawler Carl, #1)",Matt Dinniman,4.51,2025-04-13,446.0,fiction,3.0
Broken Sky(Skies of Cyrna #1),Morgan K. Bell,4.15,2025-03-10,352.0,unknown,
The Party,Natasha Preston,3.53,2025-02-22,352.0,young_adult_fiction,2.0
"Wrath of the Triple Goddess(Percy Jackson and the Olympians: The Senior Year Adventures, #2)",Rick Riordan,4.16,2025-01-04,322.0,juvenile_nonfiction,
"The Chalice of the Gods(Percy Jackson and the Olympians: The Senior Year Adventures, #1)",Rick Riordan,4.28,2025-01-03,288.0,juvenile_fiction,3.0
Council of Peacocks(Activation #1),M. Joseph Murphy,4.02,2025-01-01,,research,
The Boyfriend,Freida McFadden,4.03,2024-12-30,368.0,fiction,3.0
Power Rangers Prime #1,Melissa Flores,4.47,2024-12-30,,comics_&_graphic_novels,3.0
Absolute Superman (2024-) #2,Jason Aaron,4.35,2024-12-30,,comics_&_graphic_novels,4.0
Absolute Superman (2024-) #1,Jason Aaron,4.28,2024-12-30,,comics_&_graphic_novels,3.0
Absolute Batman (2024-) #3,Scott Snyder,4.35,2024-12-30,,comics_&_graphic_novels,5.0
Absolute Batman (2024-) #2,Scott Snyder,4.43,2024-12-30,,comics_&_graphic_novels,4.0
Absolute Batman (2024-) #1,Scott Snyder,4.56,2024-12-30,,comics_&_graphic_novels,4.0
The Hike,Drew Magary,3.97,2024-12-29,278.0,fiction,2.0
Upgrade,Blake Crouch,3.81,2024-12-27,352.0,fiction,4.0
"Foundation(Foundation, #1)",Isaac Asimov,4.17,2024-11-10,244.0,technology_&_engineering,
"Mickey7(Mickey7, #1)",Edward Ashton,3.79,2024-09-18,296.0,young_adult_fiction,
"The Rules of Supervillainy(The Supervillainy Saga, #1)",C.T. Phipps,3.9,2024-08-22,242.0,fiction,3.0
"Six Crimson Cranes(Six Crimson Cranes, #1)",Elizabeth Lim,4.19,2024-08-21,454.0,fiction,4.0
Only Big Bumbum Matters Tomorrow,Damilare Kuku,3.61,2024-07-27,272.0,fiction,3.0
Superman: Secret Identity,Kurt Busiek,4.27,2024-06-24,208.0,comics_&_graphic_novels,4.0
The Five Sorrowful Mysteries of Andy Africa,Stephen Buoro,3.65,2024-02-09,336.0,bildungsromans,
"The Maddest Obsession(Made, #2)",Danielle Lori,4.25,2024-01-08,333.0,electronic_books,
None of This Is True,Lisa Jewell,4.09,2023-12-28,390.0,fiction,
Want to Know a Secret?,Freida McFadden,3.94,2023-12-28,398.0,unknown,
"Defiance of the Fall 11(Defiance of the Fall, #11)",Thefirstdefier,4.53,2023-12-28,662.0,fiction,1.0
"Defiance of the Fall 10(Defiance of the Fall, #10)",Thefirstdefier,4.51,2023-12-28,564.0,fiction,1.0
"Defiance of the Fall 9(Defiance of the Fall, #9)",Thefirstdefier,4.48,2023-12-28,771.0,games_&_activities,2.0
"Defiance of the Fall 8(Defiance of the Fall, #8)",Thefirstdefier,4.5,2023-12-28,748.0,fiction,2.0
"Defiance of the Fall 7(Defiance of the Fall, #7)",Thefirstdefier,4.42,2023-12-28,798.0,fiction,2.0
"Defiance of the Fall 6(Defiance of the Fall, #6)",Thefirstdefier,4.38,2023-12-28,782.0,fiction,3.0
"Defiance of the Fall 5(Defiance of the Fall, #5)",Thefirstdefier,4.5,2023-12-28,662.0,fiction,4.0
"Defiance of the Fall 4(Defiance of the Fall, #4)",Thefirstdefier,4.49,2023-12-28,811.0,fiction,4.0
"Defiance of the Fall 3(Defiance of the Fall, #3)",Thefirstdefier,4.51,2023-12-28,868.0,fiction,4.0
"Defiance of the Fall 2(Defiance of the Fall, #2)",Thefirstdefier,4.53,2023-12-28,638.0,fiction,3.0
"Defiance of the Fall(Defiance of the Fall, #1)",Thefirstdefier,4.36,2023-12-28,765.0,fiction,3.0
The 12 Week Year,Brian P. Moran,3.86,2023-12-25,208.0,business_&_economics,4.0
"Fire and Song(Warformed: Stormweaver, #2)",Bryce O'Connor,4.62,2023-12-13,1049.0,fiction,3.0
"Iron Prince(Warformed: Stormweaver, #1)",Bryce O'Connor,4.58,2023-12-12,850.0,fiction,3.0
"Waybound(Cradle, #12)",Will Wight,4.63,2023-12-12,518.0,unknown,4.0
"Dreadgod(Cradle, #11)",Will Wight,4.63,2023-12-12,464.0,fiction,4.0
"Reaper(Cradle, #10)",Will Wight,4.67,2023-12-08,465.0,fiction,4.0
"Bloodline(Cradle, #9)",Will Wight,4.51,2023-12-08,378.0,unknown,4.0
"Wintersteel(Cradle, #8)",Will Wight,4.69,2023-12-06,540.0,unknown,4.0
"Uncrowned(Cradle, #7)",Will Wight,4.57,2023-12-06,336.0,fiction,4.0
"Underlord(Cradle, #6)",Will Wight,4.61,2023-12-06,400.0,fiction,4.0
"Ghostwater(Cradle, #5)",Will Wight,4.56,2023-12-06,310.0,fiction,4.0
"Skysworn(Cradle, #4)",Will Wight,4.38,2023-12-06,292.0,fiction,4.0
"Blackflame(Cradle, #3)",Will Wight,4.51,2023-12-06,370.0,unknown,4.0
"Soulsmith(Cradle, #2)",Will Wight,4.33,2023-12-04,284.0,unknown,4.0
"Unsouled(Cradle, #1)",Will Wight,4.15,2023-12-04,294.0,unknown,4.0
How To Get Rich,Felix Dennis,4.17,2023-11-06,277.0,biography_&_autobiography,3.0
"Triptych(Will Trent, #1)",Karin Slaughter,4.13,2023-11-04,393.0,fiction,3.0
"Hench(Hench, #1)",Natalie Zina Walschots,4.01,2023-10-29,403.0,english_language,4.0
All the Birds in the Sky,Charlie Jane Anders,3.59,2023-10-29,316.0,fiction,3.0
The Maleficent Seven,Cameron Johnston,3.96,2023-08-17,416.0,fiction,3.0
"Kings of the Wyld(The Band, #1)",Nicholas Eames,4.27,2023-08-17,502.0,fiction,
The Martyr(Covenant of Steel #2),Anthony Ryan,4.38,2023-08-17,528.0,unknown,
"The Shadow of the Gods(The Bloodsworn Saga, #1)",John Gwynne,4.21,2023-08-17,480.0,fiction,
"The Justice of Kings(Empire of the Wolf, #1)",Richard Swan,4.01,2023-08-17,496.0,electronic_books,
"The Pariah(Covenant of Steel, #1)",Anthony Ryan,4.18,2023-08-17,600.0,fiction,
